id,eps,codigo_cups,descripcion,tarifa
1,EMSSANAR_CAPITA,890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,
2,EMSSANAR_CAPITA,890203,CONSULTA DE PRIMERA VEZ POR ODONTOLOGIA GENERAL. -- INCY : ANAMNESIS - EXAMEN ORAL Y ELABORACION DEL ODONTOGRAMA O CARTA ODONTOLOGICA - PRESCRIPCION FARMACOLOGICA - ELABORACION DE UN PLAN DE TRATAMIENTO - REMISION AL ESPECIALISTA. -- EXCY : PROCEDIMIENTOS QUIRURGICOS DE OPERATORIA - CIRUGIA - ENDODONCIA - EXODONCIA ( 23. ) - PROFILAXIS Y DE APLICACION DE SUSTANCIAS PREVENTIVAS ( 99. 7. ),
3,EMSSANAR_CAPITA,890205,CONSULTA DE PRIMERA VEZ POR ENFERMERIA,
4,EMSSANAR_CAPITA,890206,CONSULTA DE PRIMERA VEZ POR NUTRICION Y DIETETICA,
5,EMSSANAR_CAPITA,890301,CONSULTA DE CONTROL O DE SEGUIMIENTO POR MEDICINA GENERAL,
6,EMSSANAR_CAPITA,890303,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ODONTOLOGIA GENERAL,
7,EMSSANAR_CAPITA,890305,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ENFERMERIA,
8,EMSSANAR_CAPITA,890306,CONSULTA DE CONTROL O DE SEGUIMIENTO POR NUTRICION Y DIETETICA,
9,EMSSANAR_CAPITA,P0001619,CONSULTA DE PRIMERA VEZ - MEDICINA GENERAL POR TELECONSULTA,
10,EMSSANAR_CAPITA,P0001620,CONSULTA DE CONTROL O DE SEGUIMIENTO - MEDICINA GENERAL POR TELECONSULTA,
11,EMSSANAR_CAPITA,902213,HEMOGLOBINA,
12,EMSSANAR_CAPITA,993102,VACUNACION CONTRA TUBERCULOSIS [ BCG ],
13,EMSSANAR_CAPITA,993104,VACUNACION CONTRA HAEMOPHILUS INFLUENZA TIPO B,
14,EMSSANAR_CAPITA,993106,VACUNACION CONTRA NEUMOCOCO,
15,EMSSANAR_CAPITA,993122,VACUNACION COMBINADA CONTRA DIFTERIA - TETANOS Y TOS FERINA [ DPT ],
16,EMSSANAR_CAPITA,993130,VACUNACION COMBINADA CONTRA HAEMOPHILUS INFLUENZA TIPO B - DIFTERIA - TETANOS - TOS FERINA Y HEPATITIS B ( PENTAVALENTE ),
17,EMSSANAR_CAPITA,993501,VACUNACION CONTRA POLIOMIELITIS ( VOP O IVP ),
