id,cod_contrato,eps,regimen
9,EPSI05,MALLAMAS,SUBSIDIADO
10,EPSIC5,MALLAMAS,CONTRIBUTIVO
11,ESS118,EMSSANAR,SUBSIDIADO
12,ESSC18,EMSSANAR,CONTRIBUTIVO
13,EPSS41,NUEVA EPS,SUBSIDIADO
14,EPS037,NUEVA EPS,CONTRIBUTIVO
15,86000,DEPARTAMENTO,VINCULADO
16,86,VINCULADOS PPNA,VINCULADO
17,5177,EJERCITO,REGIMEN ESPECIAL
18,RES004,FIDUPREVISORA,REGIMEN ESPECIAL
19,RES001,POLICIA NACIONAL,REGIMEN ESPECIAL
20,0001,SOAT-PARTICULAR,PARTICULAR
21,AT1306,SOAT AXA COLPATRIA,CONTRATOS SOAT
22,1327,SOAT-SEGUROS-BOLIVAR,CONTRATOS SOAT
23,AT1317,ASIS-SOAT-MUNDIAL-DE-SEGUROS,CONTRATOS SOAT
24,1318,ASIS-SOAT-SURA,CONTRATOS SOAT
25,AT1324,ASIS-SOAT-LAPREVISORA,CONTRATOS SOAT
26,AT1329,ASIS-SOAT-SEGUROS-DEL-ESTADO,CONTRATOS SOAT
27,MIN001,ADRES ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERAL,CONTRATOS SOAT
28,000124,ASIS-ARL-SURAMERICANA,CONTRATOS ARL
29,1423,ASIS-ARL-POSITIVA-COMPANIA-DE-SEGUROS,CONTRATOS ARL
30,1429,ASIS-ARL-EQUIDAD-SEGUROS,CONTRATOS ARL
31,1425,ASIS-ARL-COLMENA,CONTRATOS ARL
32,144,ASIS-ARL-AXA-COLPATRIA-SEGUROS-DEVIDA,CONTRATOS ARL
33,ESS062,ASMET SALUD,SUBSIDIADO
34,ESSC62,ASMET SALUD,CONTRIBUTIVO
35,EPSS005,SANITAS,SUBSIDIADO
36,EPSC005,SANITAS,CONTRIBUTIVO
37,86000,VINCULADOS PYM,VINCULADO
38,0001,PARTICULARES,PARTICULAR
