id_procedimiento	 id_nota_hoja	 tariff
9722	1	0
9721	1	0
9422	1	0
5777	1	0
10739	1	0
10661	1	0
10626	1	0
10625	1	0
10624	1	0
10623	1	0
10622	1	0
10621	1	0
10619	1	0
10618	1	0
10617	1	0
10615	1	0
10614	1	0
10613	1	0
10612	1	0
10611	1	0
10609	1	0
10608	1	0
10607	1	0
10606	1	0
10605	1	0
10604	1	0
10602	1	0
10565	1	0
10558	1	0
10485	1	0
10371	1	0
10355	1	0
10350	1	0
10248	1	0
10242	1	0
10155	1	0
10152	1	0
10135	1	0
10134	1	0
10106	1	0
10056	1	0
10017	1	0
9959	1	0
9955	1	0
9924	1	0
9904	1	0
9895	1	0
9894	1	0
9893	1	0
9746	1	0
9716	1	0
9715	1	0
9714	1	0
9685	1	0
9679	1	0
9671	1	0
9670	1	0
9658	1	0
9657	1	0
9655	1	0
9654	1	0
9653	1	0
9652	1	0
9640	1	0
9622	1	0
9615	1	0
9613	1	0
9611	1	0
9577	1	0
9538	1	0
9439	1	0
9437	1	0
9436	1	0
9435	1	0
9433	1	0
9429	1	0
9428	1	0
9427	1	0
9426	1	0
9425	1	0
9424	1	0
9423	1	0
9420	1	0
9417	1	0
9284	1	0
9216	1	0
9212	1	0
9179	1	0
9177	1	0
9087	1	0
9086	1	0
8589	1	0
8588	1	0
8340	1	0
8333	1	0
8271	1	0
8213	1	0
8106	1	0
7875	1	0
7874	1	0
7854	1	0
7778	1	0
7742	1	0
7734	1	0
7732	1	0
7726	1	0
7717	1	0
7716	1	0
7712	1	0
7709	1	0
7708	1	0
7707	1	0
7706	1	0
7705	1	0
7704	1	0
7703	1	0
7700	1	0
7699	1	0
7698	1	0
7697	1	0
7696	1	0
7695	1	0
7694	1	0
7692	1	0
7690	1	0
7689	1	0
7687	1	0
7686	1	0
7684	1	0
7681	1	0
7679	1	0
7677	1	0
7676	1	0
7675	1	0
7674	1	0
7671	1	0
7670	1	0
7669	1	0
7668	1	0
7667	1	0
7666	1	0
7665	1	0
7664	1	0
7663	1	0
7662	1	0
7660	1	0
7659	1	0
7657	1	0
7656	1	0
7651	1	0
7648	1	0
7647	1	0
7600	1	0
7599	1	0
7586	1	0
7584	1	0
7582	1	0
7580	1	0
7564	1	0
7559	1	0
7525	1	0
7520	1	0
7512	1	0
7472	1	0
7393	1	0
7067	1	0
7062	1	0
6861	1	0
6796	1	0
6794	1	0
6792	1	0
6754	1	0
6622	1	0
6569	1	0
6567	1	0
6566	1	0
6557	1	0
6487	1	0
6485	1	0
6398	1	0
6394	1	0
6304	1	0
6204	1	0
6025	1	0
6000	1	0
5997	1	0
5898	1	0
5894	1	0
5865	1	0
5848	1	0
5787	1	0
5786	1	0
5780	1	0
5774	1	0
5773	1	0
5771	1	0
5770	1	0
5769	1	0
5737	1	0
5725	1	0
5709	1	0
5708	1	0
5677	1	0
5578	1	0
5323	1	0
5319	1	0
5317	1	0
5146	1	0
5110	1	0
5105	1	0
5104	1	0
5103	1	0
5091	1	0
5082	1	0
5058	1	0
5020	1	0
4893	1	0
4884	1	0
4883	1	0
4879	1	0
4876	1	0
4875	1	0
4655	1	0
4605	1	0
4499	1	0
4498	1	0
4416	1	0
4397	1	0
4396	1	0
4394	1	0
4388	1	0
4382	1	0
4360	1	0
4295	1	0
4291	1	0
4261	1	0
4259	1	0
4258	1	0
4255	1	0
4222	1	0
4221	1	0
4041	1	0
3978	1	0
3967	1	0
3966	1	0
3965	1	0
3964	1	0
3940	1	0
3938	1	0
3820	1	0
3787	1	0
3733	1	0
3536	1	0
3523	1	0
3350	1	0
3242	1	0
3240	1	0
3108	1	0
3083	1	0
3055	1	0
2819	1	0
2795	1	0
