id,cups,procedimiento,ide
5019,00001CAVI,Hb-hto,11485
7204,00002CAVI,Perfil lipidico,11486
7143,00Q0000508,Paquete programa de atencion integral artritis rematoidea,11017
5790,0110B003,Internacion complejidad baja tres camas,11187
6348,019993329-01,MASCARILLA EN SILICONA PARA ADULTO,10952
9542,04CA53,SOLIFENACINA SUCCIONATO,11821
2623,05DSB01,DERECHOS DE SALA DE OBSERVACIÓN EN URGENCIAS COMPLEJIDAD BAJA (MAYOR A 6 HORAS),11893
187,1,AGUJA TIPO MARIPOSA 22G,10940
10254,10000,Traslado terrestre basico de pacientes - secundario - a mocoa (medico y auxiliar).,11201
10251,10000AUX,Traslado terrestre basico de pacientes - secundario - a mocoa (aux-enfer),11212
10252,10001,Traslado terrestre basico de pacientes - secundario - a mocoa (aux-enfer),11252
10270,100011,Traslado terrestre basico de pacientes - secundario Mocoa a Orito (aux-enfer) RETORNO,12330
10253,10002,Traslado terrestre basico de pacientes - secundario - a mocoa (medico y auxiliar).,11253
10259,10003,Traslado terrestre basico de pacientes - secundario - a popayan (medico y auxiliar),11209
10283,10003AUX,Traslado terrestre basico de pacientes-secundario-a popayan (aux-enfer),11219
10287,10006,Traslado terrestre medicalizado de pacientes a pasto (medico y auxiliar).,11514
4233,100100,Extraccion de cuerpo extrano incrustado en conjuntiva. por incision,5647
1531,101,Certificados pyp,10935
6366,10101,Mastotomia,2425
4178,10102,"Puncion cisternal, via medial",2342
6353,10111,Mastectomia radical modificada o simple ampliada con implante,2343
6354,10112,Mastectomia radical modificada o simple ampliada sin implante,2344
6351,10113,Mastectomia radical,2345
3767,10114,Estirpacion fibroadenoma,2346
2499,10116,Cuadrantectomia con o sin vaciamiento,2347
8909,10117,Reseccion quiste,2348
3623,10120,Escision tejido aberrante mama (glandula supernumeraria),2349
8851,10121,Reseccion ginecomastia,2350
10250,102,Traslado terrestre basico de pacientes - secundario - a colon (medico y auxiliar).,11206
7602,10201,Puncion (aspiracion de liquido) ventricular a traves de cateter previamente implantado,11184
7603,10202,Puncion (aspiracion de liquido) ventricular por trepanacion (sin cateter),11185
7604,10203,Puncion [aspiracion de liquido] ventricular a travez de un reservorio,5196
6316,102030,Mantenimiento silla electrica/cambio de bateria,11438
7605,10204,Puncion [aspiracion de liquido] ventricular por via transfontanelar,5197
1112,102100,Biopsia de conjuntiva sod,5648
10279,103,Traslado terrestre basico de pacientes-secundario-a colon (aux-enfer),11216
8686,103101,Reseccion de quiste o tumor benigno de conjuntiva,5649
8687,103102,Reseccion de quiste o tumor benigno de conjuntiva con injerto de mucosa,5650
8676,103103,Reseccion de pterigion simple ( nasal y/o temporal),5651
8677,103104,Reseccion de pterigion simple ( nasal y/o temporal) con injerto,5652
8678,103105,Reseccion de pterigion reproducido (nasal y /o temporal). con plastia libre o citostaticos),5653
8763,103106,Reseccion de tumor maligno de conjuntiva. con plastia,5654
8764,103107,Reseccion de tumor maligno de conjuntiva. sin plastia,5655
7230,103108,Peritomia total,5656
18,103201,Ablacion de lesion o tejido de conjuntiva. por diatermia,6938
2811,103202,Destruccion de lesion o tejido de conjuntiva. por criocoagulacion,5657
2812,103203,Destruccion de lesion o tejido de conjuntiva. por laser,5596
8440,104100,Reparacion de simblefaron con injerto libre de conjuntiva sod,5597
8439,104400,Reparacion de simblefaron con injerto de mucosa oral sod,5598
7289,104500,Plastia de la conjuntiva sod,5599
2945,105100,Division de simblefaron sod,5600
9661,106100,Sutura de la conjuntiva sod,5601
4976,106638,Guardian recolector 0.5l,11566
4977,106639,Guardian recolector 2.9l,11516
5871,107100,Inyeccion subconjuntival sod,5602
7613,10901,Puncion subdural,5199
5789,10B001,Internacion complejidad baja habitacion unipersonal (incluye aislamiento),11186
4350,110000,Extraccion por iman de cuerpo extrano incrustado en cornea sod,6939
10267,110001,Traslado terrestre basico de pacientes - secundario - puerto asis (medico y auxiliar).,11205
10272,1100010AUX,Traslado terrestre basico de pacientes - secundario- puerto asis- orito- (aux-enfer),11524
10264,110001AUX,Traslado terrestre basico de pacientes - secundario - puerto asis- (aux-enfer),11211
10265,110002,Traslado terrestre basico de pacientes - secundario - puerto asis- (aux-enfer),11250
10266,110003,Traslado terrestre basico de pacientes - secundario - puerto asis (medico y auxiliar).,11251
10292,110004,Traslado terrestre medicalizado de pacientes a puerto asis,11224
10289,1100041,Traslado terrestre medicalizado de pacientes a Colon,12312
10290,110005,Traslado terrestre medicalizado de pacientes a mocoa,11223
10275,110006,Traslado terrestre básico de pacientes secundario Orito Colombia a Lago Agrio Ecuador (auxiliar).,11390
10291,110007,Traslado terrestre medicalizado de pacientes a pasto con medico,11513
