cups,procedimiento
82101,RESECCION DE CHALAZION VIA ANTERIOR
82102,RESECCION DE CHALAZION VIA POSTERIOR
88001,REPARACION DE HERIDA EN CEJA
88201,SUTURA SUPERFICIAL DE HERIDA UNICA DE PARPADO
88202,SUTURA SUPERFICIAL DE HERIDA MULTIPLE DE PARPADO
161101,EXTRACCION DE CUERPO EXTRANO EN ORBITA
180201,DRENAJE DE COLECCION DE CONDUCTO AUDITIVO EXTERNO
184101,SUTURA DE LACERACION DE PABELLON AURICULAR
230101,EXODONCIA DE DIENTE PERMANENTE UNIRRADICULAR
230102,EXODONCIA DE DIENTE PERMANENTE MULTIRRADICULAR
230103,EXODONCIA DE DIENTES PERMANENTES
230201,EXODONCIA DE DIENTE TEMPORAL UNIRRADICULAR
230202,EXODONCIA DE DIENTE TEMPORAL MULTIRRADICULAR
230203,EXODONCIA DE DIENTES TEMPORALES
231101,EXODONCIA QUIRURGICA UNIRRADICULAR
231201,EXODONCIA QUIRURGICA MULTIRRADICULAR
232101,OBTURACION DENTAL CON AMALGAMA +
232102,OBTURACION DENTAL CON RESINA DE FOTOCURADO
232103,OBTURACION DENTAL CON IONOMERO DE VIDRIO
232201,OBTURACION TEMPORAL POR DIENTE
232401,RECONSTRUCCION DE ANGULO INCISAL
232402,RECONSTRUCCION TERCIO INCISAL
234401,INSERCION - ADAPTACION Y CONTROL DE PROTESIS MUCOSOPORTADA TOTAL MEDIO CASO SUPERIOR O INFERIOR
234402,INSERCION - ADAPTACION Y CONTROL DE PROTESIS MUCOSOPORTADA TOTAL SUPERIOR E INFERIOR
237102,PULPOTOMIA
237103,PULPECTOMIA
237301,TERAPIA DE CONDUCTO RADICULAR EN DIENTE UNIRRADICULAR
237302,TERAPIA DE CONDUCTO RADICULAR EN DIENTE BIRRADICULAR
237304,TERAPIA DE CONDUCTO RADICULAR EN DIENTE TEMPORAL UNIRRADICULAR
240301,"""ALISADO RADICULAR"
243201,SUTURA DE LACERACION DE ENCIA - MENOR DE TRES CENTIMETROS
247401,FERULIZACION RIGIDA (SUPERIOR O INFERIOR)
247402,FERULIZACION SEMIRRIGIDA (SUPERIOR O INFERIOR)
249101,CONTROL DE HEMORRAGIA DENTAL POSQUIRURGICA
274901,REMOCION DE CUERPO EXTRANO EN TEJIDOS BLANDOS DE LA BOCA
275101,SUTURA O REPARACION DE LACERACION (HERIDA) EN LABIOS HASTA DE CINCO CENTIMETROS
275102,SUTURA O REPARACION DE LACERACION (HERIDA) EN LABIOS DE MAS DE CINCO CENTIMETROS
275104,SUTURA DE LACERACION EN LABIOS
275203,SUTURA DE LACERACION DE OTRA PARTE DE LA BOCA
389301,CATETERISMO O CANALIZACION DE VENA
579401,INSERCION DE DISPOSITIVO URINARIO (VESICAL)
579501,REEMPLAZO DE DISPOSITIVO URINARIO (VESICAL)
697101,INSERCION DE DISPOSITIVO INTRAUTERINO ANTICONCEPTIVO [DIU]
721003,PARTO INSTRUMENTADO
732201,PARTO INTERVENIDO CON MANIOBRAS DE VERSION
735301,ASISTENCIA DEL PARTO CON O SIN EPISIORRAFIA O PERINEORRAFIA
735980,OTRA ASISTENCIA MANUAL DEL PARTO ESPONTANEO
750303,EVACUACION UTERINA PARA TERMINACION DEL EMBARAZO POR OTROS METODOS
754101,"""REMOCION MANUAL DE PLACENTA RETENIDA O REVISION UTERINA"
786902,"""EXTRACCION DE CUERPO EXTRANO EN FALANGES (UNO O MAS) DE MANO"
797101,REDUCCION CERRADA DE LUXACION EN HOMBRO
829910,EXTRACCION DE CUERPO EXTRANO EN TEJIDOS BLANDOS DE DEDOS DE LA MANO
858101,SUTURA DE HERIDA DE MAMA
860207,LEISHMANIA PRUEBA [ DE MONTENEGRO ]
861101,DRENAJE DE COLECCION SUPERFICIAL DE PIEL O TEJIDO CELULAR SUBCUTANEO POR INCISION O ASPIRACION
861102,DRENAJE DE COLECCION PROFUNDA EN PIEL O TEJIDO CELULAR SUBCUTANEO POR INCISION O ASPIRACION
861201,EXTRACCION DE CUERPO EXTRANO EN PIEL O TEJIDO CELULAR SUBCUTANEO DE AREA GENERAL POR INCISION
861202,EXTRACCION DE CUERPO EXTRANO EN PIEL O TEJIDO CELULAR SUBCUTANEO DE AREA ESPECIAL POR INCISION
861203,EXTRACCION DE ANTICONCEPTIVOS SUBDERMICOS POR INCISION
861801,INSERCION DE ANTICONCEPTIVOS SUBDERMICOS
862701,ONICECTOMIA
865101,"""SUTURA DE HERIDA UNICA"
865102,"""SUTURA DE HERIDA MULTIPLE"
865201,SUTURA DE HERIDA UNICA DE CARA
865202,SUTURA DE HERIDA UNICA DE CARA SIN COMPROMISO DE LABIOS O PARPADOS
865203,"""SUTURA DE HERIDA UNICA DE PLIEGUES DE FLEXION"
865204,SUTURA DE HERIDA MULTIPLE DE CARA
865205,SUTURA DE HERIDA MULTIPLE DE CARA SIN COMPROMISO DE LABIOS O PARPADOS
865206,"""SUTURA DE HERIDA MULTIPLE DE PLIEGUES DE FLEXION"
865207,SUTURA DE HERIDA PARCIAL DE CUERO CABELLUDO (ESCALPE)
865208,"""SUTURA DE AVULSION EN PABELLON AURICULAR"
865210,SUTURA DE MATRIZ UNGUEAL
869401,RETIRO DE SUTURA EN PIEL O TEJIDO CELULAR SUBCUTANEO
869501,CURACION DE LESION EN PIEL O TEJIDO CELULAR SUBCUTANEO
870001,RADIOGRAFIA DE CRANEO SIMPLE
870003,RADIOGRAFIA DE BASE DE CRANEO
870005,RADIOGRAFIA DE MASTOIDES COMPARATIVAS
870101,RADIOGRAFIA DE CARA (PERFILOGRAMA)
870102,RADIOGRAFIA DE ORBITAS
870105,RADIOGRAFIA DE ARCO CIGOMATICO
870107,RADIOGRAFIA DE HUESOS NASALES
870108,RADIOGRAFIA DE SENOS PARANASALES
870112,RADIOGRAFIA DE MAXILAR SUPERIOR
870113,RADIOGRAFIA DE MAXILAR INFERIOR
870131,RADIOGRAFIA DE ARTICULACION TEMPOROMAXILAR [ATM]
870460,RADIOGRAFIAS INTRAORALES CORONALES
870601,RADIOGRAFIA DE TEJIDOS BLANDOS DE CUELLO
870602,RADIOGRAFIA DE CAVUM FARINGEO
871010,RADIOGRAFIA DE COLUMNA CERVICAL
871019,RADIOGRAFIA DE COLUMNA UNION CERVICO DORSAL
871020,RADIOGRAFIA DE COLUMNA TORACICA
871030,RADIOGRAFIA DE COLUMNA DORSOLUMBAR
871040,RADIOGRAFIA DE COLUMNA LUMBOSACRA
871050,RADIOGRAFIA DE SACRO COCCIX
871060,RADIOGRAFIA DE COLUMNA VERTEBRAL TOTAL
871062,"""RADIOGRAFIA PANORAMICA DE COLUMNA (GONIOMETRIA U ORTOGRAMA) FORMATO 14"""" X 17"""" (NINOS)"""
871091,RADIOGRAFIA DE ARTICULACIONES SACROILIACAS
871111,RADIOGRAFIA DE REJA COSTAL
871112,RADIOGRAFIA DE ESTERNON
871121,"""RADIOGRAFIA DE TORAX (P.A. O A.P. Y LATERAL"
871129,RADIOGRAFIA DE ARTICULACIONES ESTERNOCLAVICULARES
872002,RADIOGRAFIA DE ABDOMEN SIMPLE
873004,RADIOGRAFIA PARA DETECTAR EDAD OSEA [CARPOGRAMA]
873111,RADIOGRAFIA DE OMOPLATO
873112,RADIOGRAFIA DE CLAVICULA
873121,RADIOGRAFIA DE HUMERO
873122,RADIOGRAFIA DE ANTEBRAZO
873123,RADIOGRAFIAS COMPARATIVAS DE EXTREMIDADES SUPERIORES
873202,RADIOGRAFIA DE ARTICULACIONES ACROMIO CLAVICULARES COMPARATIVAS
873204,RADIOGRAFIA DE HOMBRO
873205,RADIOGRAFIA DE CODO
873206,RADIOGRAFIA DE PUNO O MUNECA
873210,RADIOGRAFIA DE MANO
873303,RADIOGRAFIA COMPARATIVA DE PIES CON APOYO (AP Y LATERAL)
873306,"""RADIOGRAFIA PANORAMICA DE MIEMBROS INFERIORES (GONIOMETRIA U ORTOGRAMA)"
873312,"""RADIOGRAFIA DE FEMUR (AP"
873313,"""RADIOGRAFIA DE PIERNA (AP"
873314,RADIOGRAFIA DE ANTEVERSION TIBIAL
873333,"""RADIOGRAFIA DE PIE (AP"
873335,RADIOGRAFIA DE CALCANEO (AXIAL Y LATERAL)
873340,"""RADIOGRAFIA DE MIEMBRO INFERIOR (AP"
873411,"""RADIOGRAFIA DE CADERA O ARTICULACION COXO-FEMORAL (AP"
873412,RADIOGRAFIA DE CADERA COMPARATIVA
873420,"""RADIOGRAFIA DE RODILLA (AP"
873422,RADIOGRAFIA DE RODILLAS COMPARATIVAS POSICION VERTICAL (UNICAMENTE VISTA ANTEROPOSTERIOR)
873431,"""RADIOGRAFIA DE TOBILLO (AP"
873443,RADIOGRAFIAS COMPARATIVAS DE EXTREMIDADES INFERIORES
890101,ATENCION ( VISITA ) DOMICILIARIA - POR MEDICINA GENERAL
890103,"""ATENCION (VISITA) DOMICILIARIA"
890105,ATENCION ( VISITA ) DOMICILIARIA - POR ENFERMERIA. -- INCY : PROCEDIMIENTOS REALIZADOS POR ENFERMERA PROFESIONAL O AUXILIAR DE ENFERMERIA BAJO SU ESTRICTA SUPERVISION
890108,ATENCION ( VISITA ) DOMICILIARIA - POR PSICOLOGIA
890111,"""ATENCION (VISITA) DOMICILIARIA"
890112,"""ATENCION (VISITA) DOMICILIARIA"
890114,ATENCION ( VISITA ) DOMICILIARIA - POR PROMOTOR DE LA SALUD
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL
890203,CONSULTA DE PRIMERA VEZ POR ODONTOLOGIA GENERAL
890205,CONSULTA DE PRIMERA VEZ POR ENFERMERIA
890206,CONSULTA DE PRIMERA VEZ POR NUTRICION Y DIETETICA
890208,CONSULTA DE PRIMERA VEZ POR PSICOLOGIA
890209,CONSULTA DE PRIMERA VEZ POR TRABAJO SOCIAL
890211,CONSULTA DE PRIMERA VEZ POR FISIOTERAPIA
890301,CONSULTA DE CONTROL O DE SEGUIMIENTO POR MEDICINA GENERAL
890303,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ODONTOLOGIA GENERAL
890305,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ENFERMERIA
890306,CONSULTA DE CONTROL O DE SEGUIMIENTO POR NUTRICION Y DIETETICA
890308,CONSULTA DE CONTROL O DE SEGUIMIENTO POR PSICOLOGIA
890311,CONSULTA DE CONTROL O DE SEGUIMIENTO POR FISIOTERAPIA
890403,INTERCONSULTA POR ODONTOLOGIA GENERAL
890405,INTERCONSULTA POR ENFERMERIA
890406,INTERCONSULTA POR NUTRICION Y DIETETICA
890408,INTERCONSULTA POR PSICOLOGIA
890409,INTERCONSULTA POR TRABAJO SOCIAL
890411,INTERCONSULTA POR FISIOTERAPIA
890412,INTERCONSULTA POR TERAPIA RESPIRATORIA
890601,CUIDADO (MANEJO) INTRAHOSPITALARIO POR MEDICINA GENERAL ATENCION DIARIA
890609,ASISTENCIA INTRAHOSPITALARIA POR TRABAJO SOCIAL
890701,CONSULTA DE URGENCIAS POR MEDICINA GENERAL
890703,CONSULTA DE URGENCIAS POR ODONTOLOGIA GENERAL
890704,CONSULTA DE URGENCIAS POR ODONTOLOGIA ESPECIALIZADA
892901,TOMA NO QUIRURGICA DE MUESTRA O TEJIDO CERVICOVAGINAL PARA ESTUDIO CITOLOGICO
892904,TECNICAS DE INSPECCION VISUAL CON ACIDO ACETICO Y LUGOL
893805,ESPIROMETRIA O CURVA DE FLUJO VOLUMEN PRE Y POST BRONCODILATADORES
893812,REGISTRO DE OXIMETRIA CUTANEA
895004,MONITOREO AMBULATORIO DE PRESION ARTERIAL SISTEMICA
895101,ELECTROCARDIOGRAMA DE RITMO O DE SUPERFICIE
896101,MONITOREO DE PRESION ARTERIAL SISTEMICA (TELEMETRIA)
897011,MONITORIA FETAL ANTEPARTO
897012,MONITORIA FETAL INTRAPARTO
898003,ESTUDIO ANATOMOPATOLOGICO BASICO EN CITOLOGIA POR ASPIRACION CON AGUJA FINA [ACAF] DE CUALQUIER TEJIDO U ORGANO
898015,ESTUDIO ANATOMOPATOLOGICO BASICO EN CITOLOGIA CERVICOVAGINAL MANUAL
901001,ANTIBIOGRAMA (DISCO)
901002,ERITROSEDIMENTACION [ VELOCIDAD SEDIMENTACION GLOBULAR - VSG ] MANUAL
901003,EXTENDIDO DE SANGRE PERIFERICA ESTUDIO DE MORFOLOGIA
901101,BACILOSCOPIA COLORACION ACIDO ALCOHOL-RESISTENTE [ZIEHL-NEELSEN]
901102,COLORACION ACIDO ALCOHOL RESISTENTE MODIFICADA Y LECTURA. -- INCY : ISOSPORA BELLI - CRYPTOSPORIDIUM - ENTRE OTROS
901104,COLORACION AZUL DE METILENO Y LECTURA PARA CUALQUIER MUESTRA
901106,COLORACION GIEMSA Y LECTURA
901107,COLORACION GRAM Y LECTURA PARA CUALQUIER MUESTRA
901111,BACILOSCOPIA COLORACION ACIDO ALCOHOL RESISTENTE [ZIELH-NEELSEN] LECTURA SERIADA TRES MUESTRAS
901206,HEMOPARASITOS EXTENDIDO DE SANGRE PERIFERICA
901210,CULTIVO ESPECIAL PARA OTROS MICROORGANISMOS EN CUALQUIER MUESTRA
901221,PRUEBA DE TORNIQUETE [ FRAGILIDAD CAPILAR ]
901222,RECUENTO DE PLAQUETAS AUTOMATIZADO
901230,MYCOBACTERIUM TUBERCULOSIS CULTIVO
901232,RECUENTO DE PLAQUETAS MANUAL
901235,UROCULTIVO (ANTIBIOGRAMA DE DISCO)
901236,UROCULTIVO (ANTIBIOGRAMA CONCENTRACION MINIMA INHIBITORIA AUTOMATIZADO)
901237,UROCULTIVO (ANTIBIOGRAMA CONCENTRACION MINIMA INHIBITORIA MANUAL)
901304,EXAMEN DIRECTO FRESCO DE CUALQUIER MUESTRA
901305,EXAMEN DIRECTO PARA HONGOS (KOH)
901321,STREPTOCOCCUS BETA HEMOLITICO GRUPO A (PRUEBA DIRECTA)
901325,EXAMEN DIRECTO DE CUALQUIER MUESTRA
901326,LEISHMANIA EXAMEN DIRECTO
902010,ACIDO URICO EN SUERO U OTROS FLUIDOS
902011,ACIDO URICO EN ORINA DE 24 HORAS
902041,ALBUMINA EN SUERO U OTROS FLUIDOS
902045,TIEMPO DE PROTROMBINA [TP]
902049,TIEMPO DE TROMBOPLASTINA PARCIAL [TTP]
902204,ERITROSEDIMENTACION [VELOCIDAD SEDIMENTACION GLOBULAR - VSG] MANUAL
902206,EXTENDIDO DE SANGRE PERIFERICA ESTUDIO DE MORFOLOGIA
902207,HEMOGRAMA I (HEMOGLOBINA HEMATOCRITO Y LEUCOGRAMA) MANUAL
902208,HEMOGRAMA II (HEMOGLOBINA HEMATOCRITO RECUENTO DE ERITROCITOS INDICES ERITROCITARIOS LEUCOGRAMA RECUENTO DE PLAQUETAS E INDICES PLAQUETARIOS) SEMIAUTOMATIZADO
902209,HEMOGRAMA III (HEMOGLOBINA HEMATOCRITO RECUENTO DE ERITROCITOS INDICES ERITROCITARIOS LEUCOGRAMA RECUENTO DE PLAQUETAS INDICES PLAQUETARIOS Y MORFOLOGIA ELECTRONICA) AUTOMATIZADO
902210,HEMOGRAMA IV [HEMOGLOBINA. HEMATOCRITO. RECUENTO DE ERITROCITOS. INDICES ERITROCITARIOS. LEUCOGRAMA. RECUENTO DE PLAQUETAS. INDICES PLAQUETARIOS Y MORFOLOGIA ELECTRONICA E HISTOGRAMA] METODO AUTOMATICO+
902211,HEMATOCRITO
902213,HEMOGLOBINA
902214,HEMOPARASITOS EXTENDIDO DE GOTA GRUESA
902215,HEMOPARASITOS. EXTENDIDO DE SANGRE PERIFERICA *+
902216,LEUCOGRAMA (RECUENTO TOTAL Y DIFERENCIAL)
902217,PRUEBA DE TORNIQUETE [ FRAGILIDAD CAPILAR ]
902220,RECUENTO DE PLAQUETAS AUTOMATIZADO
902221,RECUENTO DE PLAQUETAS MANUAL
902223,RECUENTO DE RETICULOCITOS METODO MANUAL
902224,GLUCOSA CURVA DE TOLERANCIA. -- EXCY : 90. 3. 8. 84 - 90. 3. 8. 85 - 90. 3. 8. 86 - 90. 3. 8. 87 - 90. 3. 8. 88 - 90. 3. 8. 89 - 90. 3. 8. 90 - 90. 3. 8. 91 - 90. 3. 8. 92 - 90. 3. 8. 93 Y 90. 3. 8. 94
903026,MICROALBUMINURIA AUTOMATIZADA EN ORINA PARCIAL
903027,MICROALBUMINURIA AUTOMATIZADA EN ORINA DE 24 HORAS
903028,LIPASA
903426,HEMOGLOBINA GLICOSILADA AUTOMATIZADA
903427,HEMOGLOBINA GLICOSILADA MANUAL O SEMIAUTOMATIZADA
903801,ACIDO URICO EN SUERO U OTROS FLUIDOS
903802,ACIDO URICO EN ORINA DE 24 HORAS
903803,ALBUMINA EN SUERO U OTROS FLUIDOS
903804,TRANSAMINASA GLUTAMICO - PIRUVICA [ ALANINO AMINO TRANSFERASA ]
903805,AMILASA EN SUERO U OTROS FLUIDOS
903809,BILIRRUBINAS TOTAL Y DIRECTA
903810,CALCIO SEMIAUTOMATIZADO
903815,COLESTEROL DE ALTA DENSIDAD
903816,COLESTEROL DE BAJA DENSIDAD SEMIAUTOMATIZADO
903817,COLESTEROL DE BAJA DENSIDAD [LDL] AUTOMATIZADO
903818,COLESTEROL TOTAL
903822,CREATINA
903823,CREATININA DEPURACION
903824,CREATININA EN ORINA DE 24 HORAS
903826,CUERPOS CETONICOS O CETONAS EN ORINA
903828,DESHIDROGENASA LACTICA
903830,TOXOPLASMA GONDII ANTICUERPOS IG G AUTOMATIZADO
903833,FOSFATASA ALCALINA
903840,GLUCOSA EN ORINA
903841,GLUCOSA EN SUERO U OTRO FLUIDO DIFERENTE A ORINA
