id	cups	procedimiento								D	D				D
6028	VZLA	LECHE NAN PRO1								11549	#N/A				11549
10447	VO6WG99	TUTRIBEN NATAL								11383	#N/A				11383
4406	V08AA05	FABOTERAPEUTICO POLIVALENTE ANTIALACRAN								10678	#N/A				10678
179	V07AB	Agua destilada								10669	#N/A				10669
7588	V06WG99	PSYLLIUM								10667	#N/A				10667
6029	V06VE99	LECHE SIMILAC MAMA X 400GR								10666	#N/A				10666
6502	V06DX01	MICRONUTRIENTES EN POLVO								10654	#N/A				10654
3440	V06DB	ENSOY								10648	#N/A				10648
7081	V03AN0103	OXIGENO								10642	#N/A				10642
7082	V03AN0102	OXIGENO								10637	#N/A				10637
7085	V03AN0101	OXIGENO 6.5								10635	#N/A				10635
6609	V03AB23	N - ACETIL CISTEINA								10632	#N/A				10632
6613	V03AB1501	NALOXONA								10631	#N/A				10631
4788	TYU7889	GASA ESTÉRIL 7.5 X 7.5 CM (3'X3') POR 5 UNIDADES								10627	#N/A				10627
2921	TTC12222	DIVALPRATO SODICO (VALCOTE)								10622	#N/A				10622
9157	TI-0197	Riras de pruebas de glucosa								10620	#N/A				10620
3360	TH5662	ELECTRODOS DE MONITOREO								10619	#N/A				10619
10209	T34004	TRANSPORTE NO ASISTENCIAL TERRESTRE EN ZONA DE DISPERSIÓN O ESPECIAL								10617	#N/A				10617
10217	T0023	Transporte yacuanquer - ipiales								10616	#N/A				10616
10214	T0022	Transporte tasnaque - yacuanquer								10610	#N/A				10610
10213	T0021	Transporte taindala - yacuanquer								10608	#N/A				10608
10212	T0020	Transporte tacuaya - yacuanquer								10605	#N/A				10605
10218	T0019	Transporte zaragoza - yacuanquer								10601	#N/A				10601
10211	T0018	Transporte san jose de cordoba - yacuanquer								10579	#N/A				10579
10210	T0017	Transporte san felipe - yacuanquer								10573	#N/A				10573
10208	T0016	Transporte mohechiza bajo - yacuanquer								10569	#N/A				10569
10207	T0015	Transporte mohechiza alto - yacuanquer								10564	#N/A				10564
10206	T0014	Transporte minda - yacuanquer								10560	#N/A				10560
