notas_tecnicas_id,id_nota_hoja,nombre_nota,procedimiento_id,cups,nombre_procedimiento,tarifa
2285,3,EMSSANAR CAPITA,2925,05DSB01,DERECHOS DE SALA DE OBSERVACION EN URGENCIAS COMPLEJIDAD BAJA,0.00
2280,3,EMSSANAR CAPITA,2925,05DSB01,DERECHOS DE SALA DE OBSERVACION EN URGENCIAS COMPLEJIDAD BAJA,0.00
327,3,EMSSANAR CAPITA,588,12333,ENEMA O IRRIGACION TRANSANAL,0.00
313,3,EMSSANAR CAPITA,441,129B02,INTERNACION ADULTOS COMPLEJIDAD BAJA HABITACION MULTIPLE,0.00
45,3,EMSSANAR CAPITA,7,180201,DRENAJE DE COLECCION DE CONDUCTO AUDITIVO EXTERNO,0.00
46,3,EMSSANAR CAPITA,8,184101,SUTURA DE LACERACION DE PABELLON AURICULAR,0.00
2282,3,EMSSANAR CAPITA,433,1906317,COPROCULTIVO. -- INCY : IDENTIFICACION GENERO O ESPECIE,0.00
2277,3,EMSSANAR CAPITA,433,1906317,COPROCULTIVO. -- INCY : IDENTIFICACION GENERO O ESPECIE,0.00
47,3,EMSSANAR CAPITA,9,230101,EXODONCIA DE DIENTE PERMANENTE UNIRRADICULAR,0.00
48,3,EMSSANAR CAPITA,10,230102,EXODONCIA DE DIENTE PERMANENTE MULTIRRADICULAR,0.00
49,3,EMSSANAR CAPITA,11,230103,EXODONCIA DE DIENTES PERMANENTES,0.00
50,3,EMSSANAR CAPITA,12,230201,EXODONCIA DE DIENTE TEMPORAL UNIRRADICULAR,0.00
51,3,EMSSANAR CAPITA,13,230202,EXODONCIA DE DIENTE TEMPORAL MULTIRRADICULAR,0.00
52,3,EMSSANAR CAPITA,14,230203,EXODONCIA DE DIENTES TEMPORALES,0.00
53,3,EMSSANAR CAPITA,15,231101,EXODONCIA QUIRURGICA UNIRRADICULAR,0.00
54,3,EMSSANAR CAPITA,17,232101,OBTURACION DENTAL CON AMALGAMA +,0.00
55,3,EMSSANAR CAPITA,18,232102,OBTURACION DENTAL CON RESINA DE FOTOCURADO,0.00
56,3,EMSSANAR CAPITA,19,232103,OBTURACION DENTAL CON IONOMERO DE VIDRIO,0.00
57,3,EMSSANAR CAPITA,20,232201,OBTURACION TEMPORAL POR DIENTE,0.00
58,3,EMSSANAR CAPITA,21,232401,RECONSTRUCCION DE ANGULO INCISAL,0.00
59,3,EMSSANAR CAPITA,22,232402,RECONSTRUCCION TERCIO INCISAL,0.00
290,3,EMSSANAR CAPITA,23,234401,INSERCION - ADAPTACION Y CONTROL DE PROTESIS MUCOSOPORTADA TOTAL MEDIO CASO SUPERIOR O INFERIOR,0.00
